Barcode,full_sample_id,input,filtered,denoised,merged,tabled,nonchim
A1,77SSSWBMarch2020,45947,45079,42692,33719,33603,32328
A10,82SSSMBMarch2020,50200,49170,48199,44663,44609,43718
A11,86SSSMBMarch2020,43263,42285,40887,34938,34897,34779
A12,93SSSMBMarch2020,75379,74215,73410,70636,70630,69822
A2,78SSSWBMarch2020,68721,67349,66868,64077,64077,58672
A3,83SSSWBMarch2020,46975,45569,44601,40925,40624,40423
A4,95SSSWBMarch2020,79753,77485,75158,66989,66959,66620
A5,13SSDBMarch2020,78073,76249,76037,75051,74862,73099
A6,85SSDBMarch2020,40782,39429,38929,37368,37368,37050
A7,96SSDBMarch2020,54169,52671,51695,48486,48468,46218
A8,97SSDBMarch2020,45402,44157,43650,41556,41556,40087
A9,74SSSMBMarch2020,111950,110236,109745,107846,107464,106860
B1,61SSSMRMarch2020,65002,63040,61768,55861,55805,55556
B10,73SRSMBMarch2020,14525,14119,13060,11161,6631,6631
B11,89SRSMBMarch2020,20538,19846,18870,16721,16540,16366
B12,90SRSMBMarch2020,26335,25713,25083,24295,23526,23448
B2,62SSSMRMarch2020,50268,48897,47500,44246,44233,42954
B3,63SSSMRMarch2020,39967,38318,36984,32847,32847,32450
B4,64SSSMRMarch2020,25817,24964,23461,19939,19935,19903
B5,75SRSWBMarch2020,31566,30366,28573,23938,23919,23737
B6,79SRSWBMarch2020,51159,48968,45563,34995,34986,34930
B7,80SRSWBMarch2020,32725,31587,27704,17002,16992,16545
B8,84SRSWBMarch2020,5471,5260,4798,3788,1851,1851
B9,98SRSWBMarch2020,20825,20204,17790,13405,10687,10616
C1,92SRSMBMarch2020,24519,23855,22793,20917,20034,19994
C10,35SSSMBNovember2020,6277,6120,5330,4105,4081,4046
C11,37SSSMBNovember2020,5532,5344,4874,4150,3627,3408
C12,70SSSMBNovember2020,8557,8370,8026,7179,6876,5631
C2,56SSSWBNovember2020,3964,3823,2738,2033,2019,2019
C3,77SSSWBNovember2020,5820,5611,4089,2676,2645,2639
C4,83SSSWBNovember2020,22409,21813,19474,15228,14594,14118
C5,95SSSWBNovember2020,7078,6894,5328,3608,3520,3520
C6,49SSDBNovember2020,6290,6049,5935,5431,5420,4746
C7,85SSDBNovember2020,6072,5898,5718,5063,5059,4382
C8,96SSDBNovember2020,4862,4683,4376,3885,3852,3685
C9,97SSDBNovember2020,9838,9606,9350,8259,8223,6751
D1,82SSSMBNovember2020,9582,9332,8340,6557,6033,6010
D10,84SRSWBNovember2020,13198,12810,11579,10021,9099,9062
D11,98SRSWBNovember2020,11093,10796,9303,7605,7594,7152
