,id,host_phylum,host_class,host_order,host_family,host_genus,host_species,site,area,reef_bay,collection_latitude,collection_longitude,collection_date,collection_year,collection_month,collection_depth,site_zone,number,no_sp,no_sp_lo,full_sample_id,m_y,m_y_s_z,sample_full,is.neg,mean_pH_site,mean_temp_site,mean_sal_site,mean_do_site,mean_par_site,range_pH_site,range_temp_site,range_sal_site,range_do_site,range_par_site,site_nice,m_rb,coral_species,tp_suffix,number_time
A1,A1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,77,77_siderea,77_siderea_SW_bay,77SSSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_A1_March_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,March_2020 bay,Siderastrea siderea,a,77a
A10,A10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,82,82_siderea,82_siderea_SM_bay,82SSSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_A10_March_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,March_2020 bay,Siderastrea siderea,a,82a
A11,A11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,86,86_siderea,86_siderea_SM_bay,86SSSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_A11_March_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,March_2020 bay,Siderastrea siderea,a,86a
A12,A12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,93,93_siderea,93_siderea_SM_bay,93SSSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_A12_March_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,March_2020 bay,Siderastrea siderea,a,93a
A2,A2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,78,78_siderea,78_siderea_SW_bay,78SSSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_A2_March_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,March_2020 bay,Siderastrea siderea,a,78a
A3,A3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,83,83_siderea,83_siderea_SW_bay,83SSSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_A3_March_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,March_2020 bay,Siderastrea siderea,a,83a
A4,A4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,3/1/20,2020,March,1,SW_bay,95,95_siderea,95_siderea_SW_bay,95SSSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_A4_March_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,March_2020 bay,Siderastrea siderea,a,95a
A5,A5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,3/1/20,2020,March,5,SW_reef,13,13_siderea,13_siderea_SW_reef,13SSDBMarch2020,March_2020,March_2020_SW_reef,SW_reef_A5_March_2020,FALSE,8.047646275,28.51712935,35.58084344,6.310593286,532.1785342,0.630546,3.52,1.42991559,3.44,1759.366821,Spaanse Water Reef,March_2020 reef,Siderastrea siderea,a,13a
A6,A6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,3/1/20,2020,March,5,SW_reef,85,85_siderea,85_siderea_SW_reef,85SSDBMarch2020,March_2020,March_2020_SW_reef,SW_reef_A6_March_2020,FALSE,8.047646275,28.51712935,35.58084344,6.310593286,532.1785342,0.630546,3.52,1.42991559,3.44,1759.366821,Spaanse Water Reef,March_2020 reef,Siderastrea siderea,a,85a
A7,A7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,3/1/20,2020,March,5,SW_reef,96,96_siderea,96_siderea_SW_reef,96SSDBMarch2020,March_2020,March_2020_SW_reef,SW_reef_A7_March_2020,FALSE,8.047646275,28.51712935,35.58084344,6.310593286,532.1785342,0.630546,3.52,1.42991559,3.44,1759.366821,Spaanse Water Reef,March_2020 reef,Siderastrea siderea,a,96a
A8,A8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,3/1/20,2020,March,5,SW_reef,97,97_siderea,97_siderea_SW_reef,97SSDBMarch2020,March_2020,March_2020_SW_reef,SW_reef_A8_March_2020,FALSE,8.047646275,28.51712935,35.58084344,6.310593286,532.1785342,0.630546,3.52,1.42991559,3.44,1759.366821,Spaanse Water Reef,March_2020 reef,Siderastrea siderea,a,97a
A9,A9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,74,74_siderea,74_siderea_SM_bay,74SSSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_A9_March_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,March_2020 bay,Siderastrea siderea,a,74a
B1,B1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,3/1/20,2020,March,5,SM_reef,61,61_siderea,61_siderea_SM_reef,61SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_B1_March_2020,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,March_2020 reef,Siderastrea siderea,a,61a
B10,B10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,73,73_radians,73_radians_SM_bay,73SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_B10_March_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,March_2020 bay,Siderastrea radians,a,73a
B11,B11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,89,89_radians,89_radians_SM_bay,89SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_B11_March_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,March_2020 bay,Siderastrea radians,a,89a
