"id","Observed","Shannon","InvSimpson","host_phylum","host_class","host_order","host_family","host_genus","host_species","site","area","reef_bay","collection_latitude","collection_longitude","collection_date","collection_year","collection_month","collection_depth","site_zone","number","no_sp","no_sp_lo","full_sample_id","m_y","m_y_s_z","sample_full","is.neg","even","r_b_m_y"
"A1",770,5.60559708959194,71.3091645460661,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","77","77_siderea","77_siderea_SW_bay","77SSSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_A1_March_2020",FALSE,0.843404713741887,"bay March_2020"
"A10",731,5.1359012724261,48.4281854600836,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","82","82_siderea","82_siderea_SM_bay","82SSSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_A10_March_2020",FALSE,0.778826093294578,"bay March_2020"
"A11",888,5.36682434306741,54.4221532616519,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","86","86_siderea","86_siderea_SM_bay","86SSSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_A11_March_2020",FALSE,0.790520942822785,"bay March_2020"
"A12",622,3.97252637143039,14.2324526952224,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","93","93_siderea","93_siderea_SM_bay","93SSSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_A12_March_2020",FALSE,0.617528892568759,"bay March_2020"
"A2",100,2.74487114721961,8.54803825364328,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","78","78_siderea","78_siderea_SW_bay","78SSSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_A2_March_2020",FALSE,0.596041196386463,"bay March_2020"
"A3",954,5.99988287757366,113.90869117739,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","83","83_siderea","83_siderea_SW_bay","83SSSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_A3_March_2020",FALSE,0.874533888396702,"bay March_2020"
"A4",1243,5.603300289798,74.2031279903502,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","95","95_siderea","95_siderea_SW_bay","95SSSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_A4_March_2020",FALSE,0.786396865617023,"bay March_2020"
"A5",153,1.50901205433623,1.77789224914632,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"3/1/20",2020,"March",5,"SW_reef","13","13_siderea","13_siderea_SW_reef","13SSDBMarch2020","March_2020","March_2020_SW_reef","SW_reef_A5_March_2020",FALSE,0.299976279981312,"reef March_2020"
"A6",272,3.89645264894026,19.2186565822118,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"3/1/20",2020,"March",5,"SW_reef","85","85_siderea","85_siderea_SW_reef","85SSDBMarch2020","March_2020","March_2020_SW_reef","SW_reef_A6_March_2020",FALSE,0.695074960346365,"reef March_2020"
"A7",356,3.59686370019445,14.8975944687208,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"3/1/20",2020,"March",5,"SW_reef","96","96_siderea","96_siderea_SW_reef","96SSDBMarch2020","March_2020","March_2020_SW_reef","SW_reef_A7_March_2020",FALSE,0.612239337785827,"reef March_2020"
"A8",219,3.95175644730137,19.9870295160862,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"3/1/20",2020,"March",5,"SW_reef","97","97_siderea","97_siderea_SW_reef","97SSDBMarch2020","March_2020","March_2020_SW_reef","SW_reef_A8_March_2020",FALSE,0.733290749395152,"reef March_2020"
"A9",732,4.92635225316924,32.7854107561031,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","74","74_siderea","74_siderea_SM_bay","74SSSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_A9_March_2020",FALSE,0.746894509715964,"bay March_2020"
"B1",991,5.57707436848427,56.9805882213941,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"3/1/20",2020,"March",5,"SM_reef","61","61_siderea","61_siderea_SM_reef","61SSSMRMarch2020","March_2020","March_2020_SM_reef","SM_reef_B1_March_2020",FALSE,0.808422256165426,"reef March_2020"
"B10",352,4.88786908737952,42.3903938831797,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","73","73_radians","73_radians_SM_bay","73SRSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_B10_March_2020",FALSE,0.833590814463353,"bay March_2020"
"B11",327,4.78377349108637,52.5686326773608,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","89","89_radians","89_radians_SM_bay","89SRSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_B11_March_2020",FALSE,0.826218721698917,"bay March_2020"
"B12",165,3.19845508764161,9.64516596023786,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","90","90_radians","90_radians_SM_bay","90SRSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_B12_March_2020",FALSE,0.626417791570779,"bay March_2020"
"B2",484,3.81425746266409,13.6638337362189,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"3/1/20",2020,"March",5,"SM_reef","62","62_siderea","62_siderea_SM_reef","62SSSMRMarch2020","March_2020","March_2020_SM_reef","SM_reef_B2_March_2020",FALSE,0.61698561572974,"reef March_2020"
"B3",588,5.41362916925253,90.7349304553323,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"3/1/20",2020,"March",5,"SM_reef","63","63_siderea","63_siderea_SM_reef","63SSSMRMarch2020","March_2020","March_2020_SM_reef","SM_reef_B3_March_2020",FALSE,0.848966752612251,"reef March_2020"
"B4",753,6.04570060548479,215.101220351344,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"3/1/20",2020,"March",5,"SM_reef","64","64_siderea","64_siderea_SM_reef","64SSSMRMarch2020","March_2020","March_2020_SM_reef","SM_reef_B4_March_2020",FALSE,0.912687360038693,"reef March_2020"
"B5",393,3.09257656459545,5.51602707297557,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","75","75_radians","75_radians_SW_bay","75SRSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_B5_March_2020",FALSE,0.517689174166325,"bay March_2020"
"B6",781,5.17979230367337,39.8356031612228,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","79","79_radians","79_radians_SW_bay","79SRSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_B6_March_2020",FALSE,0.777679432653507,"bay March_2020"
