Date,Time,PAR_uncal,PAR_cal,°C,Site,Habitat,Timepoint
3/10/20,16:06:00,2998,271.9186,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,16:11:00,4237,384.2959,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,16:16:00,5221,473.5447,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,16:21:00,3336,302.5752,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,16:26:00,5019,455.2233,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,16:31:00,3585,325.1595,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,16:36:00,4415,400.4405,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,16:41:00,2694,244.3458,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,16:46:00,2035,184.5745,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,16:51:00,2646,239.9922,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,16:56:00,3070,278.449,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,17:01:00,4091,371.0537,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,17:06:00,5123,464.6561,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,17:11:00,3270,296.589,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,17:16:00,3010,273.007,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,17:21:00,2892,262.3044,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,17:26:00,1869,169.5183,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,17:31:00,1992,180.6744,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,17:36:00,1375,124.7125,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,17:41:00,1406,127.5242,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,17:46:00,1298,117.7286,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,17:51:00,1342,121.7194,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,17:56:00,1262,114.4634,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,18:01:00,1243,112.7401,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,18:06:00,1291,117.0937,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,18:11:00,1118,101.4026,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,18:16:00,780,70.746,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,18:21:00,539,48.8873,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,18:26:00,398,36.0986,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,18:31:00,270,24.489,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,18:36:00,168,15.2376,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,18:41:00,101,9.1607,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,18:46:00,59,5.3513,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,18:51:00,27,2.4489,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,18:56:00,9,0.8163,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,19:01:00,2,0.1814,26.69,Spaanse Water Reef,Reef,March 2020
3/10/20,19:06:00,1,0.0907,26.69,Spaanse Water Reef,Reef,March 2020
3/11/20,6:31:00,3,0.2721,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,6:36:00,14,1.2698,26.5,Spaanse Water Reef,Reef,March 2020
3/11/20,6:41:00,35,3.1745,26.5,Spaanse Water Reef,Reef,March 2020
3/11/20,6:46:00,71,6.4397,26.5,Spaanse Water Reef,Reef,March 2020
3/11/20,6:51:00,115,10.4305,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,6:56:00,187,16.9609,26.5,Spaanse Water Reef,Reef,March 2020
3/11/20,7:01:00,316,28.6612,26.5,Spaanse Water Reef,Reef,March 2020
3/11/20,7:06:00,458,41.5406,26.5,Spaanse Water Reef,Reef,March 2020
3/11/20,7:11:00,636,57.6852,26.5,Spaanse Water Reef,Reef,March 2020
3/11/20,7:16:00,581,52.6967,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,7:21:00,672,60.9504,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,7:26:00,911,82.6277,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,7:31:00,1385,125.6195,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,7:36:00,1764,159.9948,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,7:41:00,1869,169.5183,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,7:46:00,2322,210.6054,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,7:51:00,2753,249.6971,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,7:56:00,2495,226.2965,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,8:01:00,3601,326.6107,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,8:06:00,4159,377.2213,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,8:11:00,4449,403.5243,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,8:16:00,4116,373.3212,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,8:21:00,3885,352.3695,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,8:26:00,3573,324.0711,26.56,Spaanse Water Reef,Reef,March 2020
3/11/20,8:31:00,6461,586.0127,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,8:36:00,4919,446.1533,26.63,Spaanse Water Reef,Reef,March 2020
3/11/20,8:41:00,4374,396.7218,26.63,Spaanse Water Reef,Reef,March 2020
