Date,Time,Temperature,Conductivity,Salinity,Timepoint,Site,Habitat
3/10/20,16:00:00,27.1,55.6,35.40512,March 2020,Spaanse Water Reef,Reef
3/10/20,16:05:00,27.03,55.6,35.41275,March 2020,Spaanse Water Reef,Reef
3/10/20,16:10:00,26.99,55.7,35.42801,March 2020,Spaanse Water Reef,Reef
3/10/20,16:15:00,26.98,55.7,35.42038,March 2020,Spaanse Water Reef,Reef
3/10/20,16:20:00,26.96,55.7,35.42801,March 2020,Spaanse Water Reef,Reef
3/10/20,16:25:00,26.97,55.7,35.42801,March 2020,Spaanse Water Reef,Reef
3/10/20,16:30:00,26.96,55.7,35.42801,March 2020,Spaanse Water Reef,Reef
3/10/20,16:35:00,26.96,55.7,35.42801,March 2020,Spaanse Water Reef,Reef
3/10/20,16:40:00,26.96,55.7,35.43564,March 2020,Spaanse Water Reef,Reef
3/10/20,16:45:00,26.96,55.7,35.43564,March 2020,Spaanse Water Reef,Reef
3/10/20,16:50:00,26.95,55.7,35.43564,March 2020,Spaanse Water Reef,Reef
3/10/20,16:55:00,26.95,55.7,35.42801,March 2020,Spaanse Water Reef,Reef
3/10/20,17:00:00,26.95,55.7,35.42038,March 2020,Spaanse Water Reef,Reef
3/10/20,17:05:00,26.96,55.7,35.42038,March 2020,Spaanse Water Reef,Reef
3/10/20,17:10:00,26.97,55.7,35.42038,March 2020,Spaanse Water Reef,Reef
3/10/20,17:15:00,26.97,55.7,35.42038,March 2020,Spaanse Water Reef,Reef
3/10/20,17:20:00,26.97,55.7,35.42801,March 2020,Spaanse Water Reef,Reef
3/10/20,17:25:00,26.97,55.7,35.42801,March 2020,Spaanse Water Reef,Reef
3/10/20,17:30:00,26.96,55.7,35.50735,March 2020,Spaanse Water Reef,Reef
3/10/20,17:35:00,26.96,55.7,35.50735,March 2020,Spaanse Water Reef,Reef
3/10/20,17:40:00,26.95,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/10/20,17:45:00,26.95,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/10/20,17:50:00,26.95,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
3/10/20,17:55:00,26.95,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
3/10/20,18:00:00,26.96,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
