id,A4-A4dd,A4/A4a-A4bf,A4-A4h-A4a,A4ch,A4-A4de,A4/A4a,B19-B19ai-B19x-B19ak,B19-B19ai-B19x-B19an,B19aq,B19,B19ao,B19ap,B5-B5ay-B1dx,B19-B19ai-B19x,B19-B19ai,B2,C46-C42.2-C46e,C3-C3lp,C42ef/C42eg-C42eh-C42ej,C3-C3n-C3lp,C46/C3,C46/C1-C42.2,C47a-C47b-C47-C44-C42.2,C46/C42.2,C42ef/C42eg,C47a-C42.2-C44-C47,C1-C1c-C1am-C1ao-C1an-C1b-C3cm,C1/C3-C1c-C1b-C1w,C3-C3ed,C1/C42.2/C3/C1c-C1b,C1-C1c-C1b-C42.2-C3-C1br,C47a-C47c-C42.2-C44-C47,C45l,C1-C1c-C1b-C72k-C42.2,C3-C1-C1c,C45a,C1/C1c-C1al-C1b-C42.2,C3/C46-C3lp,C1-C1b-C1c-C42.2-C1bh-C1br-C1cb-C3,C1/C3-C1c-C1b-C42.2-C1bh-C1br,C3af-C3xo-C3hq,C1/C1c-C3-C1al,C42.2,C46,C1/C3/C42.2,D1-D4-D4c-D1c-D1k-D2,D1-D4-D4c-D1c-D17d-D1r-D17c-D17e,D1/D4/D2-D4c-D1c-D1h,D1/D4-D17d-D4c-D1r-D17c-D17e-D17j,D1-D4-D4c-D6-D2-D1c-D4f,D1-D4-D4c-D1k-D1c,D1-D4-D2-D1c
A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,0,0,0,0,27358,0,0,0,0,0,0,0,0,0,0,0,10566,0,0,0,0,0,0
A10,0,0,0,0,0,0,0,1713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37318,0,0,0,0,0,0
A11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41761,0,0,0,0,0,0,0,0,0,0,0,0
A12,0,0,0,0,0,0,0,0,151,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35367,0,0,0,0,0,0
A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14733,0,0,0,0,0,0
A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10788,0,0,0,0,0,0
A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46511,0,0,0,0,0,0
A5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8604,0,0,0,0,0
A7,0,0,0,0,0,0,0,0,0,45,116,53,0,0,0,0,0,16731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15953,0,0,0,0
A8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0
A9,0,0,0,0,0,0,0,7086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31989,0,0,0,0,0,0
B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
