ITS2_type_profile_UID,Clade,Majority_ITS2_sequence,Associated_species,ITS2_profile_abundance_local,ITS2_profile_abundance_DB,ITS2_type_profile,SymPortal_UID,Average.defining.sequence.proportions.and.[stdev]
346428,A,A4,None,20,33,A4-A4dd,29206-136391,0.961[0.016]-0.039[0.016]
346446,A,A4,None,5,9,A4/A4a-A4bf,29206-40166-50495,0.728[0.143]-0.222[0.094]-0.050[0.048]
346095,A,A4,None,2,6,A4-A4h-A4a,29206-40165-40166,0.800[0.017]-0.111[0.002]-0.089[0.015]
346593,A,A4ch,None,1,6,A4ch,45403,1.000[nan]
346356,A,A4,None,1,6,A4-A4de,29206-43753,0.926[nan]-0.074[nan]
346358,A,A4,None,1,14,A4/A4a,29206-40166,0.930[nan]-0.070[nan]
346799,B,B19,None,16,20,B19-B19ai-B19x-B19ak,37844-1913913-44466-38312,0.705[0.043]-0.183[0.031]-0.067[0.016]-0.045[0.030]
346798,B,B19,None,9,11,B19-B19ai-B19x-B19an,37844-1913913-44466-1913914,0.715[0.030]-0.201[0.032]-0.046[0.012]-0.037[0.010]
346893,B,B19aq,None,6,7,B19aq,891954,1.000[0.000]
346846,B,B19,None,5,12,B19,37844,1.000[0.000]
346891,B,B19ao,None,4,4,B19ao,2855690,1.000[0.000]
346892,B,B19ap,None,4,4,B19ap,1150877,1.000[0.000]
346791,B,B5,None,4,7,B5-B5ay-B1dx,29665-37591-37929,0.863[0.021]-0.076[0.020]-0.061[0.019]
346790,B,B19,None,1,2,B19-B19ai-B19x,37844-1913913-44466,0.813[nan]-0.150[nan]-0.036[nan]
346831,B,B19,None,1,3,B19-B19ai,37844-1913913,0.871[nan]-0.129[nan]
346836,B,B2,None,1,57,B2,21914,1.000[nan]
348191,C,C46,None,29,77,C46-C42.2-C46e,44722-1-44723,0.945[0.026]-0.043[0.020]-0.012[0.006]
348557,C,C3,None,12,21,C3-C3lp,32-3602,0.929[0.013]-0.071[0.013]
348562,C,C42ef/C42eg,None,12,16,C42ef/C42eg-C42eh-C42ej,96219/2855653-2855655-2855654,0.477[0.092]/0.398[0.024]-0.082[0.046]-0.044[0.026]
348558,C,C3,None,9,17,C3-C3n-C3lp,32-44862-3602,0.893[0.017]-0.059[0.026]-0.048[0.012]
348605,C,C46/C3,None,9,17,C46/C3,,0.590[0.338]/0.410[0.338]
348560,C,C46/C1,None,6,17,C46/C1-C42.2,44722/2-1,0.754[0.295]/0.189[0.267]-0.056[0.031]
348561,C,C47a,None,5,8,C47a-C47b-C47-C44-C42.2,892982-62855-2855698-62851-1,0.699[0.014]-0.084[0.005]-0.083[0.006]-0.067[0.005]-0.066[0.007]
348188,C,C46/C42.2,None,5,12,C46/C42.2,,0.616[0.352]/0.384[0.352]
348610,C,C42eg/C42ef,None,5,8,C42ef/C42eg,,0.547[0.121]/0.453[0.121]
348563,C,C47a,None,4,6,C47a-C42.2-C44-C47,892982-1-62851-62855,0.759[0.072]-0.097[0.030]-0.083[0.028]-0.061[0.014]
347659,C,C1,None,3,117,C1-C1c-C1am-C1ao-C1an-C1b-C3cm,2-308-4-1123-1108-1103-1112,0.798[0.039]-0.107[0.020]-0.022[0.004]-0.021[0.012]-0.020[0.015]-0.018[0.016]-0.016[0.012]
347664,C,C1,None,3,340,C1/C3-C1c-C1b-C1w,2-308-32-4-833,0.813[0.033]-0.117[0.011]-0.038[0.041]-0.023[0.002]-0.009[0.001]
347300,C,C3,None,3,11,C3-C3ed,32-105306,0.972[0.003]-0.028[0.003]
347656,C,C1,None,2,28,C1/C42.2/C3/C1c-C1b,2-32-308-1-4,0.680[0.165]-0.165[0.193]-0.108[0.035]-0.024[0.017]-0.023[0.010]
347915,C,C1,None,2,8,C1-C1c-C1b-C42.2-C3-C1br,2-308-4-1-32-848,0.794[0.006]-0.129[0.012]-0.041[0.003]-0.019[0.009]-0.011[0.001]-0.005[0.000]
348564,C,C47a,None,2,4,C47a-C47c-C42.2-C44-C47,892982-2855691-1-62851-62855,0.530[0.011]-0.170[0.000]-0.123[0.000]-0.116[0.009]-0.060[0.002]
348953,C,C45l,None,2,3,C45l,2855666,1.000[0.000]
347166,C,C1,None,2,117,C1-C1c-C1b-C72k-C42.2,2-308-4-835-1,0.816[0.014]-0.137[0.013]-0.021[0.003]-0.018[0.001]-0.006[0.001]
349598,C,C3,None,2,7,C3-C1-C1c,32-2-308,0.821[0.072]-0.163[0.061]-0.017[0.011]
348770,C,C45a,None,2,7,C45a,40124,1.000[0.000]
347624,C,C1,None,2,139,C1/C1c-C1al-C1b-C42.2,2-308-4-828-1,0.789[0.012]-0.137[0.008]-0.035[0.011]-0.020[0.000]-0.019[0.009]
348606,C,C3,None,1,6,C3/C46-C3lp,32-3602-44722,0.870[nan]-0.069[nan]-0.061[nan]
347712,C,C1,None,1,1234,C1-C1b-C1c-C42.2-C1bh-C1br-C1cb-C3,2-308-4-1-831-32-848-832,0.744[nan]-0.108[nan]-0.063[nan]-0.034[nan]-0.016[nan]-0.012[nan]-0.012[nan]-0.010[nan]
347841,C,C1,None,1,55,C1/C3-C1c-C1b-C42.2-C1bh-C1br,2-308-4-32-1-831-848,0.786[nan]-0.141[nan]-0.036[nan]-0.014[nan]-0.013[nan]-0.006[nan]-0.005[nan]
347978,C,C3af,None,1,16,C3af-C3xo-C3hq,44088-44091-44089,0.653[nan]-0.315[nan]-0.032[nan]
347979,C,C1,None,1,43,C1/C1c-C3-C1al,2-32-308-828,0.777[nan]-0.113[nan]-0.078[nan]-0.031[nan]
348749,C,C42.2,None,1,43,C42.2,1,1.000[nan]
348765,C,C46,None,1,4,C46,44722,1.000[nan]
347870,C,C42.2,None,1,32,C1/C3/C42.2,1-32-2,0.855[nan]-0.081[nan]-0.065[nan]
348978,D,D1,None,42,735,D1-D4-D4c-D1c-D1k-D2,853-854-1730-2308-12730-855,0.631[0.018]-0.251[0.015]-0.038[0.008]-0.038[0.006]-0.024[0.005]-0.018[0.008]
349225,D,D1,None,13,239,D1-D4-D4c-D1c-D17d-D1r-D17c-D17e,853-854-1730-2308-1759-944-2582-2587,0.585[0.031]-0.239[0.020]-0.046[0.012]-0.037[0.010]-0.027[0.010]-0.026[0.009]-0.021[0.007]-0.018[0.007]
349123,D,D1,None,10,555,D1/D4/D2-D4c-D1c-D1h,853-854-1730-2308-855-1752,0.636[0.031]-0.243[0.022]-0.036[0.008]-0.034[0.010]-0.032[0.013]-0.020[0.008]
349224,D,D1,None,1,130,D1/D4-D17d-D4c-D1r-D17c-D17e-D17j,853-854-1730-1759-944-2587-1768-2582,0.596[nan]-0.195[nan]-0.070[nan]-0.037[nan]-0.029[nan]-0.029[nan]-0.022[nan]-0.022[nan]
